model_id,category,canonical_title,all_titles,num_variants,min_price,all_prices,num_sources
790197,דיו וטונרים,‏טונר  ‏שחור Brother TN2220,‏טונר  ‏שחור Brother TN2220,1,341.0,341.0,1
796375,"מקדחות, מברגות ופטישונים",‏פטיש חציבה/קידוח Makita HM0870C,‏פטיש חציבה/קידוח Makita HM0870C,1,1387.0,1387.0,1
818973,"מקדחות, מברגות ופטישונים",‏פטיש חציבה/קידוח Makita HM1203C,‏פטיש חציבה/קידוח Makita HM1203C,1,2013.0,2013.0,1
824357,ברזים,‏ברז פרח 23095000 Grohe,‏ברז פרח 23095000 Grohe,1,435.0,435.0,1
831313,מגברים לרכב,מגבר לרכב Premier PA654,מגבר לרכב Premier PA654,1,190.0,190.0,1
831314,מגברים לרכב,מגבר לרכב Premier PA854,מגבר לרכב Premier PA854,1,234.0,234.0,1
856227,הגיינת הפה,‏מנקה לשון 2689 Paro,"‏מנקה לשון 2689 Paro ||| כל הקטגוריות ||| חשמל ואלקטרוניקה ||| לבית ולגן ||| פנאי וספורט ||| בריאות ויופי ||| מבצעי פסח ||| zap cars ||| טיפוח יופי ובריאות‏ ||| מפרט טכני ||| קנייה בחנות מקומית ||| למפרט המלא > ||| מוצרים דומים ||| מנקה לשון | פארו ||| מנקה לשון 2689 ||| Paro 2689 - מנקה לשון ||| מנקה לשון, פארו 2689 ||| חיטוי והיגיינה אישית ||| הפסקת עישון ||| פשרה בת""צ אבנצ'יק נ' זאפ גרופ (ת""צ 23008-08-20) ||| פשרה בת""צ כהנים נ' זאפ גרופ (ת""צ 60371-12-19) ||| אודות zap.co.il ||| תנאי שימוש ||| מדריך חנויות ||| נפילת מחירים ||| הקנייה ב-zap ||| ביטולים והחזרות ||| מרכז מידע ותמיכה ||| הצטרפות כחנות ל-zap ||| פרסום באתר ||| ממשק חנויות / יבואנים ||| סופרמרקטים ||| מוצרים מבוקשים ||| שיווק לעסקים ||| [email protected] ||| מדיניות פרטיות ||| Privacy Policy ||| Terms of Service",38,23.0,"23.0, 26.0, 45.0, 46.0",38
856228,הגיינת הפה,‏קיסמים 1751 Paro,‏קיסמים 1751 Paro,1,25.0,25.0,1
856233,הגיינת הפה,‏קיסמים 1750 Paro,‏קיסמים 1750 Paro,1,25.0,25.0,1
861238,מגברים לרכב,מגבר לרכב Rockford P400X4,מגבר לרכב Rockford P400X4,1,1100.0,1100.0,1
872795,דיו וטונרים,‏ראש דיו  ‏שחור Canon PG545XL,‏ראש דיו  ‏שחור Canon PG545XL ||| דיו שחור מקורי Canon PG-545XL,2,115.0,"115.0, 171.0",2
875076,מגברים לרכב,מגבר לרכב JBL GXA604,מגבר לרכב JBL GXA604,1,689.0,689.0,1
877520,מגברים לרכב,מגבר לרכב Premier PA1004,מגבר לרכב Premier PA1004,1,940.0,940.0,1
880001,"מקדחות, מברגות ופטישונים",‏פטיש חציבה/קידוח Makita HM 1101C,‏פטיש חציבה/קידוח Makita HM 1101C,1,1813.0,1813.0,1
882098,דיו וטונרים,‏טונר  ‏שחור Brother TN1050,"טונר מקורי Brother HL-1110 TN-1050 ||| ‏טונר  ‏שחור Brother TN1050 ||| כל הקטגוריות ||| חשמל ואלקטרוניקה ||| לבית ולגן ||| פנאי וספורט ||| בריאות ויופי ||| מבצעי פסח ||| zap cars ||| לבית לגן ולמשרד‏ ||| מפרט טכני ||| קנייה בחנות מקומית ||| למפרט המלא > ||| מוצרים דומים ||| משלוח עם שליח חינם - טונר פרימיום תואם Brother TN-1050 שחור (1,000 דף) ||| טונר תואם חדש 1000 דף Brother TN-1050 ||| טונר שחור מקורי TN1050 BROTHER ||| טונר שחור מקורי Brother TN1050 ||| טונר מקורי שחור TN-1050 Brother ||| טונר שחור מקורי Brother TN-1050 ||| טונר מקורי Brother TN-1050 בראדר (1,000 דף) ||| טונר לייזר שחור מקורי Brother TN-1050 ||| טונר מקורי שחור BROTHER TN1050 ||| ‏טונר ‏שחור מקורי Brother TN1050 ||| טונר לייזר שחור מקורי Brother TN-1050 (1,000 דפים) ||| טונר מקורי Brother TN1050 ||| טונר מקורי 1000 דף Brother TN-1050 ||| טונר מקורי BROTHER TN-1050 ||| טונר מקורי ברדר TN1050 ||| טונר מקורי Brother TN-1050 ||| טונר מקורי ברדר brother TN1050 ||| ‏טונר ‏שחור Brother TN1050 מקורי ||| טונר ברדר‎ מקורי TN–1050 ||| טונר למדפסת ברדר Brother Toner Cartridge TN-1050 מקורי ||| טונר ברדר שחור Brother Toner TN1050 - מקורי ||| זוג טונרים מקוריים Brother TN1050 ||| שלושה טונרים מקוריים Brother TN1050 ||| טונר לייזר תואם BROTHER TN1050 (איכות פרימיום) ||| טונר שחור תואם (איכות פרמיום) TN1050 BROTHER ||| ‏טונר תואם BROTHER מבצע ל 4 ||| ‏טונר תואם BROTHER ||| טונר שחור תואם Brother TN1050 ||| טונר לייזר Brother TN-1050 תואם ||| טונר תואם Brother TN-1050 ||| טונר תואם שחור BROTHER TN1050 ||| טונר תואם BROTHER TN-1050 TN-1000- צבע שחור ||| זוג טונרים תואמים Brother TN1050 ||| טונר לייזר שחור תואם Brother TN-1050 ברדר 1,000 דף לפי 5% כיסוי ||| ‏טונר ‏שחור תואם Brother TN1050 ||| טונר שחור תואם Brother TN-1050 ||| טונר חליפי Brother TN-1050 ||| טונר תואם ברדר TN1050 ||| טונר תואם Brother TN1050 ||| ‏טונר ‏שחור Brother TN1050 תואם ||| רביעיית טונרים תואמים Brother TN1050 ||| טונר שחור תואם BROTHER TN-1050 ||| טונר לייזר שחור תואם Brother TN-1050 (1,000 דפים) ||| טונר תואם BROTHER TN-1050 ||| טונר לייזר שחור תואם Brother TN-1050 ||| טונר ברדר שחור Brother Toner TN1050 - פרימיום ||| טונר למדפסת ברדר Brother Toner Cartridge TN-1050 ||| 10 טונרים תואמים BROTHER TN1050 ||| מארז 10 טונרים תואמים TN1050 BROTHER ||| טונר Brother TN-1050 ||| ארבעה טונרים תואמים Brother TN1050 ||| מארז חסכון 3 טונרים תואמים Brother TN-1050 סה""כ (3,000 דפים) ||| מארז חסכון 5 טונרים תואמים Brother TN-1050 סה""כ 5K דפים ||| מתכלים למדפסות תלת מימד ||| שרתי מדפסות ||| מגרסות נייר ||| כלי שירטוט ||| פשרה בת""צ אבנצ'יק נ' זאפ גרופ (ת""צ 23008-08-20) ||| פשרה בת""צ כהנים נ' זאפ גרופ (ת""צ 60371-12-19) ||| אודות zap.co.il ||| תנאי שימוש ||| מדריך חנויות ||| נפילת מחירים ||| הקנייה ב-zap ||| ביטולים והחזרות ||| מרכז מידע ותמיכה ||| הצטרפות כחנות ל-zap ||| פרסום באתר ||| ממשק חנויות / יבואנים ||| סופרמרקטים ||| מוצרים מבוקשים ||| שיווק לעסקים ||| [email protected] ||| מדיניות פרטיות ||| Privacy Policy ||| Terms of Service",90,23.0,"23.0, 29.0, 30.0, 35.0, 43.0, 59.0, 61.0, 65.0, 68.0, 76.0, 80.0, 99.0, 110.0, 111.0, 120.0, 129.0, 130.0, 138.0, 140.0, 145.0, 160.0, 169.0, 192.0, 196.0, 199.0, 226.0, 228.0, 229.0, 235.0, 243.0, 248.0, 249.0, 250.0, 253.0, 255.0, 259.0, 267.0, 270.0, 272.0, 275.0, 276.0, 297.0, 299.0, 300.0, 347.0, 349.0, 442.0, 449.0, 508.0, 595.0, 746.0",91
885062,בשמים לאישה,בושם לאשה DKNY Be Delicious E.D.P 100ml,בושם לאישה DKNY Be Delicious E.D.P 100ml ||| בושם לאשה DKNY Be Delicious E.D.P 100ml,2,149.0,"149.0, 210.0",2
885070,בשמים לאישה,בושם לאשה Cacharel Noa E.D.T 100ml,בושם לאשה Cacharel Noa E.D.T 100ml,1,143.0,143.0,1
885078,בשמים לאישה,בושם לאשה Calvin Klein Eternity E.D.P 100ml,בושם לאשה Calvin Klein Eternity E.D.P 100ml,1,140.0,140.0,1
885080,בשמים לאישה,בושם לאשה Burberry London E.D.P 100ml,בושם לאשה Burberry London E.D.P 100ml,1,129.0,129.0,1
885104,בשמים לאישה,בושם לאשה Chanel Coco Mademoiselle E.D.P 100ml,בושם לאשה Chanel Coco Mademoiselle E.D.P 100ml,1,699.0,699.0,1
885129,בשמים לאישה,בושם לאשה Christian Dior J'Adore E.D.P 100ml,בושם לאשה Christian Dior J'Adore E.D.P 100ml,1,549.0,549.0,1
885159,בשמים לאישה,בושם לאישה Nina Ricci Premier Jour E.D.P 100 ml,בושם לאישה Nina Ricci Premier Jour E.D.P 100 ml,1,248.0,248.0,1
885508,בשמים לאישה,"קלואה קלאסי אדפ לאישה 75 מ""ל - קלואה - Chloe - Chloe EDP For Women 75ML","קלואה קלאסי אדפ לאישה 75 מ""ל - קלואה - Chloe - Chloe EDP For Women 75ML",1,269.0,269.0,1
885532,בשמים לאישה,בושם לאשה Kenzo Flower E.D.P 100ml,בושם לאשה Kenzo Flower E.D.P 100ml,1,221.0,221.0,1
